date,price
2011-03-24,340000
2011-03-24,486000
2011-03-24,389888
2011-03-24,395000
2011-03-24,265000
2011-03-24,310000
2011-03-25,314000
2011-03-25,515000
2011-03-25,460000
2011-03-25,385000
2011-03-25,622000
2011-03-25,635000
2011-03-25,396500
2011-03-25,500000
2011-03-25,442500
2011-03-25,455000
2011-03-25,600000
2011-03-25,790000
2011-03-25,521500
2011-03-25,355000
2011-03-25,600000
2011-03-25,410000
2011-03-25,650000
2011-03-25,560000
2011-03-25,662500
2011-03-25,437000
2011-03-25,538000
2011-03-25,490000
2011-03-25,439950
2011-03-26,865000
2011-03-26,725000
2011-03-26,1525000
2011-03-26,861000
2011-03-26,645000
2011-03-26,540000
2011-03-26,790000
2011-03-26,1275000
2011-03-26,984000
2011-03-26,875000
2011-03-26,1135001
2011-03-26,845000
2011-03-27,1015000
2011-03-27,729000
2011-03-28,250000
2011-03-28,252000
2011-03-28,248000
2011-03-28,240000
2011-03-28,334000
2011-03-28,345000
2011-03-28,232000
2011-03-28,233000
2011-03-28,565000
2011-03-28,925000
2011-03-28,252000
2011-03-28,287500
2011-03-28,800000
2011-03-28,248000
2011-03-28,222000
2011-03-28,221000
2011-03-28,207000
2011-03-28,250000
2011-03-28,219000
2011-03-28,277500
2011-03-28,248000
2011-03-28,264000
2011-03-28,375000
2011-03-28,263000
2011-03-28,262000
2011-03-28,261000
2011-03-28,420000
2011-03-28,370000
2011-03-28,555000
2011-03-28,270000
2011-03-28,257000
2011-03-28,688000
2011-03-28,580000
2011-03-28,132000
2011-03-28,286000
2011-03-28,287000
2011-03-28,490000
2011-03-28,288000
2011-03-28,243000
2011-03-28,254000
2011-03-28,253000
2011-03-28,289000
2011-03-28,290000
2011-03-28,255000
2011-03-28,289000
2011-03-28,222000
2011-03-28,253000
2011-03-28,850000
2011-03-28,254000
2011-03-28,260500
2011-03-28,253000
2011-03-29,283000
2011-03-29,299000
2011-03-29,225000
2011-03-29,299000
2011-03-29,259000
2011-03-29,283000
2011-03-29,253000
2011-03-29,274000
2011-03-29,321000
2011-03-29,283000
2011-03-29,285000
2011-03-29,284000
2011-03-29,285000
2011-03-29,259000
2011-03-29,259000
2011-03-29,259000
2011-03-29,259000
2011-03-29,257000
2011-03-29,294000
2011-03-29,291000
2011-03-29,290000
2011-03-29,250000
2011-03-29,252000
2011-03-29,288000
2011-03-29,519000
2011-03-29,470000
2011-03-29,281000
2011-03-29,985000
2011-03-29,214000
2011-03-29,280000
2011-03-29,559000
2011-03-29,212000
2011-03-29,820000
2011-03-29,450000
2011-03-29,245000
2011-03-29,465000
2011-03-29,465000
2011-03-29,380000
2011-03-29,650000
2011-03-29,400000
2011-03-29,470000
2011-03-29,598000
2011-03-29,485000
2011-03-29,427500
2011-03-29,460000
2011-03-29,780000
2011-03-29,228000
2011-03-29,216000
2011-03-29,446000
2011-03-29,231000
2011-03-29,710000
2011-03-29,233000
2011-03-29,233000
2011-03-29,233000
2011-03-29,625000
2011-03-29,815000
2011-03-29,240000
2011-03-29,240000
2011-03-30,291000
2011-03-30,287000
2011-03-30,225000
2011-03-30,587000
2011-03-30,650000
2011-03-30,525000
2011-03-30,290000
2011-03-30,610000
2011-03-30,291000
2011-03-30,253000
2011-03-30,685000
2011-03-30,285000
2011-03-30,470000
2011-03-30,654000
2011-03-30,460000
2011-03-30,475000
2011-03-30,262000
2011-03-30,243000
2011-03-30,552500
2011-03-30,246000
2011-03-30,610000
2011-03-30,590000
2011-03-30,560000
2011-03-30,273000
2011-03-30,278000
2011-03-30,1200000
2011-03-30,236000
2011-03-30,311000
2011-03-30,307000
2011-03-30,264000
2011-03-30,700000
2011-03-30,248000
2011-03-30,280000
2011-03-30,250000
2011-03-30,213000
2011-03-30,730000
2011-03-30,280000
2011-03-30,250000
2011-03-30,286000
2011-03-30,284000
2011-03-30,252000
2011-03-30,284000
2011-03-30,230000
2011-03-30,257000
2011-03-31,544000
2011-03-31,560000
2011-03-31,675000
2011-03-31,499950
2011-03-31,276000
2011-03-31,835000
2011-03-31,515000
2011-03-31,264500
2011-03-31,1000000
2011-03-31,485000
2011-03-31,545000
2011-03-31,492000
2011-03-31,645000
2011-03-31,660000
2011-03-31,490000
2011-03-31,472250
2011-03-31,491000
2011-03-31,475000
2011-03-31,625000
2011-04-01,620000
2011-04-01,440000
2011-04-01,770000
2011-04-01,412500
2011-04-01,870000
2011-04-01,585000
2011-04-01,2900000
2011-04-01,500000
2011-04-01,40000
2011-04-01,645000
2011-04-01,472000
2011-04-01,578000
2011-04-01,539950
2011-04-01,639950
2011-04-01,415000
2011-04-01,365000
2011-04-01,270000
2011-04-01,565000
2011-04-01,535000
2011-04-01,307000
2011-04-01,550000
2011-04-01,270000
2011-04-01,785000
2011-04-01,256000
2011-04-01,575000
2011-04-01,580000
2011-04-01,802000
2011-04-01,440000
2011-04-01,237000
2011-04-01,283500
2011-04-01,400000
2011-04-01,900000
2011-04-01,455000
2011-04-01,225000
2011-04-02,491000
2011-04-02,597000
2011-04-02,615000
2011-04-02,750000
2011-04-02,1360000
2011-04-02,780000
2011-04-02,594000
2011-04-02,755000
2011-04-02,610000
2011-04-04,575000
2011-04-04,428000
2011-04-04,520250
2011-04-04,495000
2011-04-04,587000
2011-04-04,302500
2011-04-04,796000
2011-04-04,367000
2011-04-04,252500
2011-04-04,600000
2011-04-04,480000
2011-04-04,890000
2011-04-05,640000
2011-04-05,470000
2011-04-05,720000
2011-04-05,455000
2011-04-05,598000
2011-04-05,512000
2011-04-05,660000
2011-04-05,610000
2011-04-05,600000
2011-04-05,560000
2011-04-05,790000
2011-04-05,471000
2011-04-05,767000
2011-04-05,595000
2011-04-05,993000
2011-04-05,505000
2011-04-05,555000
2011-04-06,220000
2011-04-06,610000
2011-04-06,600125
2011-04-06,405000
2011-04-06,500000
2011-04-06,975000
2011-04-06,421000
2011-04-06,480000
2011-04-06,780000
2011-04-06,490000
2011-04-06,670000
2011-04-06,745000
2011-04-06,570000
2011-04-06,555000
2011-04-06,520000
2011-04-06,820000
2011-04-06,485000
2011-04-06,568000
2011-04-06,620000
2011-04-06,370000
2011-04-07,645000
2011-04-07,270000
2011-04-07,255000
2011-04-07,900000
2011-04-07,257500
2011-04-07,990000
2011-04-07,250000
2011-04-07,415000
2011-04-07,555000
2011-04-07,630000
2011-04-07,262500
2011-04-07,440000
2011-04-07,424000
2011-04-07,558000
2011-04-07,840000
2011-04-07,240000
2011-04-07,317000
2011-04-07,665000
2011-04-07,530000
2011-04-08,420000
2011-04-08,980000
2011-04-08,748000
2011-04-08,250000
2011-04-08,387500
2011-04-08,320000
2011-04-08,585000
2011-04-08,91000
2011-04-08,633050
2011-04-08,1455000
2011-04-08,240000
2011-04-08,455000
2011-04-08,432000
2011-04-08,624000
2011-04-08,630000
2011-04-08,270000
2011-04-08,430000
2011-04-08,584750
2011-04-08,590000
2011-04-08,257500
2011-04-08,487500
2011-04-08,490000
2011-04-09,741190
2011-04-09,455000
2011-04-09,578000
2011-04-09,1305000
2011-04-09,1675000
2011-04-09,470000
2011-04-09,902000
2011-04-09,755000
2011-04-09,550000
2011-04-09,850000
2011-04-11,640000
2011-04-11,250000
2011-04-11,330000
2011-04-11,488888
2011-04-11,704800
2011-04-11,825000
2011-04-11,525000
2011-04-11,262500
2011-04-11,515000
2011-04-11,247500
2011-04-12,328000
2011-04-12,328000
2011-04-12,565000
2011-04-12,265000
2011-04-12,615000
2011-04-12,255000
2011-04-12,410000
2011-04-12,515000
2011-04-12,382000
2011-04-12,437000
2011-04-12,500000
2011-04-12,801000
2011-04-12,88000
2011-04-12,630000
2011-04-12,830000
2011-04-12,460000
2011-04-12,530000
2011-04-12,250000
2011-04-13,599000
2011-04-13,500000
2011-04-13,950000
2011-04-13,560000
2011-04-13,707000
2011-04-13,286000
2011-04-13,510000
2011-04-13,294000
2011-04-13,264000
2011-04-13,485000
2011-04-13,627000
2011-04-13,840000
2011-04-13,425000
2011-04-13,328000
2011-04-13,328000
2011-04-13,650000
2011-04-14,340000
2011-04-14,495000
2011-04-14,328000
2011-04-14,410000
2011-04-14,328000
2011-04-14,302500
2011-04-14,240000
2011-04-14,227000
2011-04-14,251000
2011-04-14,265000
2011-04-14,327500
2011-04-14,265000
2011-04-14,216000
2011-04-14,315000
