suburb,date,price
Macarthur,2011-02-08,560000
Bonner,2011-02-08,240000
Bonython,2011-02-08,544000
Bonner,2011-02-08,490500
Casey,2011-02-08,540000
Crace,2011-02-08,273500
Campbell,2011-02-08,1740000
Giralang,2011-02-08,477000
Conder,2011-02-08,625000
Dunlop,2011-02-08,497500
Monash,2011-02-08,465000
Evatt,2011-02-08,468000
Harrison,2011-02-08,900000
Gungahlin,2011-02-08,438000
Downer,2011-02-09,616000
Weetangera,2011-02-09,600000
Gordon,2011-02-09,462000
Kaleen,2011-02-09,515000
McKellar,2011-02-09,690000
Kambah,2011-02-09,425000
Curtin,2011-02-09,842000
Kambah,2011-02-09,520000
Evatt,2011-02-09,425000
Ainslie,2011-02-09,670000
Fadden,2011-02-09,900000
Gilmore,2011-02-09,200000
Charnwood,2011-02-09,360000
Harrison,2011-02-09,720000
Evatt,2011-02-09,459000
Calwell,2011-02-09,695000
Ngunnawal,2011-02-09,662500
Harrison,2011-02-09,475000
Wanniassa,2011-02-10,650000
Mawson,2011-02-10,622000
Fadden,2011-02-10,648000
Ngunnawal,2011-02-10,539000
Conder,2011-02-10,700000
Richardson,2011-02-10,420000
Gordon,2011-02-10,530000
Waramanga,2011-02-10,546720
Waramanga,2011-02-10,458280
Casey,2011-02-10,315000
Kambah,2011-02-10,585000
Franklin,2011-02-10,410000
Holt,2011-02-10,294000
Kambah,2011-02-10,505000
Curtin,2011-02-10,625000
Kaleen,2011-02-10,461000
Dunlop,2011-02-10,620000
Charnwood,2011-02-10,380000
Curtin,2011-02-10,600000
Dunlop,2011-02-11,550000
Casey,2011-02-11,220000
Chisholm,2011-02-11,650000
Forde,2011-02-11,605000
Bruce,2011-02-11,605000
Higgins,2011-02-11,415000
Hawker,2011-02-11,850000
Gowrie,2011-02-11,583500
Giralang,2011-02-11,440000
Aranda,2011-02-11,820000
Palmerston,2011-02-11,522000
Torrens,2011-02-11,520000
Hughes,2011-02-11,730000
Nicholls,2011-02-11,705000
